Geneid	wt-phage-35_R1	wt-phage-35_R3	wt-phage-35_R4	wt-phage-35_R5	wt-phage-60_R1	wt-phage-60_R2	wt-phage-60_R3	wt-phage-60_R4	wt-phage-120_R1	wt-phage-120_R2	wt-phage-120_R3	wt-phage-120_R4	Entity	Symbol	is_outlier	outlier_info
gene-R0792_RS25195	95	142	113	85	62	128	123	95	107	72	100	89	host	pncB	False	
gene-R0792_RS05310	37	42	38	29	24	51	40	33	57	33	41	40	host	gene-R0792_RS05310	False	
gene-R0792_RS22165	250	339	247	278	183	292	211	237	262	179	262	215	host	gene-R0792_RS22165	False	
gene-R0792_RS25415	15	20	18	11	9	16	18	9	17	10	15	13	host	gene-R0792_RS25415	False	
gene-R0792_RS14495	5	6	11	8	2	6	11	5	14	0	5	4	host	gene-R0792_RS14495	False	
gene-R0792_RS12645	38	46	53	40	13	63	59	28	89	56	110	62	host	gene-R0792_RS12645	False	
gene-R0792_RS04510	107	143	119	94	107	129	110	107	84	44	82	66	host	pscF	False	
gene-R0792_RS29540	6	5	10	7	1	6	3	4	5	4	11	7	host	gene-R0792_RS29540	False	
gene-R0792_RS06515	34	42	42	47	15	56	41	33	52	23	45	31	host	gene-R0792_RS06515	False	
gene-R0792_RS12850	81	69	54	43	68	66	48	60	35	44	43	46	host	gene-R0792_RS12850	False	
gene-R0792_RS17050	280	343	264	296	150	316	263	231	275	181	277	227	host	gene-R0792_RS17050	False	
gene-R0792_RS09945	26	31	41	26	15	27	29	20	29	19	16	21	host	gene-R0792_RS09945	False	
gene-R0792_RS19545	65	67	64	48	37	95	51	67	52	39	52	46	host	gene-R0792_RS19545	False	
gene-R0792_RS04360	248	257	290	244	205	388	334	295	452	294	389	448	host	gene-R0792_RS04360	False	
gene-R0792_RS03310	32	38	31	22	10	38	28	25	26	20	40	25	host	gene-R0792_RS03310	False	
gene-R0792_RS14620	30	34	45	30	21	55	55	34	54	22	45	26	host	gene-R0792_RS14620	False	
gene-R0792_RS08875	62	72	43	63	35	61	54	33	48	45	71	51	host	gene-R0792_RS08875	False	
gene-R0792_RS28515	190	197	166	162	119	209	195	169	170	130	188	160	host	gene-R0792_RS28515	False	
gene-R0792_RS18405	431	464	424	412	272	386	334	292	333	248	319	328	host	gene-R0792_RS18405	False	
gene-R0792_RS05560	4	7	10	9	2	3	9	7	9	3	3	8	host	gene-R0792_RS05560	False	
gene-R0792_RS25480	20	18	32	35	16	36	26	24	44	19	36	21	host	gene-R0792_RS25480	False	
gene-R0792_RS06865	4	5	8	8	1	6	4	3	9	3	8	7	host	gene-R0792_RS06865	False	
gene-R0792_RS14000	169	181	175	122	113	197	184	163	201	142	245	182	host	gene-R0792_RS14000	False	
gene-R0792_RS23930	417	487	469	393	329	611	509	501	552	389	573	504	host	rfbC	False	
gene-R0792_RS05670	26	38	36	21	12	34	23	17	26	13	20	18	host	gene-R0792_RS05670	False	
gene-R0792_RS15235	46	81	68	46	24	86	59	47	100	48	69	58	host	gene-R0792_RS15235	False	
gene-R0792_RS01590	13	22	17	17	6	14	16	15	21	7	13	14	host	gene-R0792_RS01590	False	
gene-R0792_RS05255	276	341	306	265	200	365	262	252	227	116	201	174	host	gene-R0792_RS05255	False	
gene-R0792_RS11060	9	10	10	8	7	14	9	3	13	7	8	7	host	mntP	False	
gene-R0792_RS01495	1	4	5	2	0	5	2	4	9	0	2	4	host	gene-R0792_RS01495	False	
gene-R0792_RS05930	12	14	20	8	5	9	19	6	33	8	22	8	host	gene-R0792_RS05930	False	
gene-R0792_RS18020	261	292	337	270	130	291	291	215	161	86	121	105	host	phzM	False	
gene-R0792_RS03305	62	54	56	59	35	72	47	66	65	52	64	68	host	eutH	False	
gene-R0792_RS16800	52	79	63	44	45	77	87	56	84	43	59	37	host	gene-R0792_RS16800	False	
gene-R0792_RS18460	143	89	114	99	66	176	127	113	176	94	150	120	host	gene-R0792_RS18460	False	
gene-R0792_RS21150	16	18	43	20	9	23	17	21	38	18	29	29	host	bauR	False	
gene-R0792_RS20450	137	167	120	109	77	133	113	116	121	66	127	123	host	gene-R0792_RS20450	False	
gene-R0792_RS10985	45	50	33	47	21	54	41	34	58	24	54	34	host	sbrR	False	
gene-R0792_RS20920	243	317	341	292	111	279	265	197	176	89	144	112	host	gene-R0792_RS20920	False	
gene-R0792_RS03915	93	129	149	115	63	160	142	98	153	72	144	102	host	gene-R0792_RS03915	False	
gene-R0792_RS00295	321	315	321	298	182	361	265	280	306	209	287	237	host	gene-R0792_RS00295	False	
gene-DMS3-35	1	3	9	3	1	6	6	4	17	16	30	16	phage	gene-DMS3-35	False	
gene-R0792_RS04310	25	26	34	23	14	28	34	21	34	16	25	19	host	gene-R0792_RS04310	False	
gene-R0792_RS23180	409	533	462	438	239	502	411	345	430	258	445	349	host	gene-R0792_RS23180	False	
gene-R0792_RS12415	36	39	42	33	10	39	38	24	41	15	31	24	host	gene-R0792_RS12415	False	
gene-R0792_RS22000	25	22	30	22	7	46	49	31	53	23	39	23	host	gene-R0792_RS22000	False	
gene-R0792_RS20175	61	85	77	72	25	87	67	64	89	41	65	52	host	gene-R0792_RS20175	False	
gene-R0792_RS17890	190	258	220	230	146	203	163	169	142	94	148	118	host	gene-R0792_RS17890	False	
gene-R0792_RS03145	338	449	430	372	150	445	360	315	368	184	257	238	host	gene-R0792_RS03145	False	
gene-R0792_RS15205	62	92	86	79	22	61	60	46	61	29	57	43	host	gene-R0792_RS15205	False	
gene-R0792_RS28075	190	182	161	162	116	185	179	136	150	100	165	118	host	gene-R0792_RS28075	False	
gene-R0792_RS06720	23	28	33	18	14	36	25	16	27	20	22	21	host	gene-R0792_RS06720	False	
gene-R0792_RS26045	294	316	312	284	194	449	380	300	404	221	371	291	host	gene-R0792_RS26045	False	
gene-R0792_RS14540	400	488	489	305	359	578	411	391	627	286	562	489	host	gene-R0792_RS14540	False	
gene-R0792_RS05370	202	193	160	121	135	229	181	176	141	94	157	199	host	gene-R0792_RS05370	False	
gene-R0792_RS17040	127	154	164	159	53	199	189	139	192	93	190	115	host	mpl	False	
gene-R0792_RS26640	3	4	5	3	1	5	10	3	7	4	8	4	host	gene-R0792_RS26640	False	
gene-R0792_RS13645	2	7	4	3	3	3	4	2	7	2	5	3	host	phnF	False	
gene-R0792_RS14555	64	72	91	72	44	110	77	66	168	78	107	78	host	gene-R0792_RS14555	False	
gene-R0792_RS24825	19	22	14	18	7	19	12	10	16	9	16	18	host	gene-R0792_RS24825	False	
gene-R0792_RS12230	81	81	77	78	43	85	70	48	106	46	75	67	host	gene-R0792_RS12230	False	
gene-R0792_RS16760	7	13	9	9	4	9	12	7	27	6	17	7	host	gene-R0792_RS16760	False	
gene-R0792_RS10395	9	17	16	11	3	18	8	7	11	11	19	17	host	gene-R0792_RS10395	False	
gene-R0792_RS21665	31	51	46	35	15	65	54	54	78	37	59	43	host	gene-R0792_RS21665	False	
gene-R0792_RS19795	43	37	55	27	21	44	44	34	48	29	58	32	host	gene-R0792_RS19795	False	
gene-R0792_RS04230	8	6	7	8	4	8	13	5	8	6	15	4	host	gene-R0792_RS04230	False	
gene-R0792_RS29050	20	18	10	15	3	5	10	5	6	4	7	5	host	tadB	False	
gene-R0792_RS03535	52	51	55	54	51	69	64	58	50	26	57	51	host	gene-R0792_RS03535	False	
gene-R0792_RS29690	80	79	101	91	41	114	91	68	167	82	117	92	host	gene-R0792_RS29690	False	
gene-R0792_RS05235	60	53	74	58	40	71	76	47	101	38	87	74	host	gene-R0792_RS05235	False	
gene-R0792_RS02420	16	15	23	12	9	19	18	10	29	4	13	17	host	phnX	False	
gene-R0792_RS28640	155	123	100	111	80	146	132	107	109	74	129	100	host	gene-R0792_RS28640	False	
gene-R0792_RS09225	217	215	205	166	144	246	204	182	211	185	271	271	host	gene-R0792_RS09225	False	
gene-R0792_RS29370	5	6	11	7	8	10	9	7	13	13	9	9	host	toxR	False	
gene-R0792_RS05130	50	48	63	56	51	74	72	54	93	71	106	122	host	gene-R0792_RS05130	False	
gene-R0792_RS12235	15	29	20	14	13	21	22	19	20	6	17	9	host	gene-R0792_RS12235	False	
gene-R0792_RS03885	7	17	22	25	13	36	24	22	30	22	23	15	host	gene-R0792_RS03885	False	
gene-R0792_RS19165	5	5	4	4	1	3	1	0	2	1	0	4	host	gene-R0792_RS19165	False	
gene-R0792_RS14985	3	8	6	5	0	2	5	9	4	1	5	9	host	gene-R0792_RS14985	False	
gene-R0792_RS02035	6	5	4	2	1	6	4	8	3	4	6	8	host	gene-R0792_RS02035	False	
gene-R0792_RS09500	120	141	166	126	94	231	178	150	243	131	189	128	host	gene-R0792_RS09500	False	
gene-R0792_RS05410	37	66	78	59	12	70	69	49	95	54	76	63	host	gene-R0792_RS05410	False	
gene-R0792_RS06265	5	6	5	4	2	2	8	2	4	4	4	5	host	gene-R0792_RS06265	False	
gene-R0792_RS11945	415	440	360	318	321	548	473	393	520	290	497	386	host	gene-R0792_RS11945	False	
gene-R0792_RS08670	20	30	28	21	10	26	18	26	27	12	22	23	host	gene-R0792_RS08670	False	
gene-R0792_RS09770	119	188	170	157	96	178	147	154	167	104	175	144	host	tse5	False	
gene-R0792_RS29640	9	9	15	12	5	7	16	5	13	5	13	4	host	gene-R0792_RS29640	False	
gene-R0792_RS06445	18	16	14	14	6	21	17	13	20	6	7	9	host	gene-R0792_RS06445	False	
gene-R0792_RS08820	303	438	259	218	214	352	282	255	329	227	342	312	host	gene-R0792_RS08820	False	
gene-R0792_RS19420	375	376	334	326	194	407	306	284	334	162	311	234	host	gene-R0792_RS19420	False	
gene-R0792_RS22810	73	96	109	88	51	99	66	77	73	44	74	62	host	choW	False	
gene-R0792_RS29445	45	58	53	33	30	66	54	62	54	38	60	64	host	gene-R0792_RS29445	False	
gene-R0792_RS15365	185	270	238	237	167	328	286	252	355	246	311	269	host	gene-R0792_RS15365	False	
gene-R0792_RS10835	403	390	398	369	223	366	316	271	340	200	301	259	host	gene-R0792_RS10835	False	
gene-R0792_RS29450	61	97	86	60	48	96	77	77	84	57	83	73	host	gene-R0792_RS29450	False	
gene-R0792_RS07750	2	3	1	9	3	5	2	0	4	3	3	7	host	gene-R0792_RS07750	False	
gene-R0792_RS02660	17	20	18	21	12	29	13	10	16	14	19	15	host	gene-R0792_RS02660	False	
gene-R0792_RS22090	254	217	187	164	209	343	230	242	282	227	356	310	host	gene-R0792_RS22090	False	
gene-R0792_RS29325	0	6	0	4	2	5	5	2	4	6	2	2	host	gene-R0792_RS29325	False	
gene-R0792_RS04655	238	305	265	253	198	462	402	363	444	279	415	353	host	gene-R0792_RS04655	False	
gene-R0792_RS08440	10	10	12	9	5	11	13	4	11	3	7	7	host	gene-R0792_RS08440	False	
gene-R0792_RS09825	26	41	28	35	9	30	35	22	37	21	28	31	host	gene-R0792_RS09825	False	
gene-R0792_RS01045	179	233	210	178	151	334	282	239	346	191	318	277	host	gene-R0792_RS01045	False	
gene-R0792_RS10560	27	34	30	27	21	51	44	26	39	21	49	34	host	gene-R0792_RS10560	False	
gene-R0792_RS17560	28	32	33	19	13	33	21	23	23	12	24	12	host	gene-R0792_RS17560	False	
gene-R0792_RS26865	199	244	327	226	81	357	302	215	328	156	245	165	host	mapZ	False	
gene-R0792_RS25820	35	31	34	39	20	36	40	34	38	29	41	38	host	gene-R0792_RS25820	False	
gene-R0792_RS09750	4	7	15	5	1	14	8	6	5	5	9	8	host	gene-R0792_RS09750	False	
gene-R0792_RS07055	4	2	3	3	3	2	2	2	1	4	0	2	host	gene-R0792_RS07055	False	
gene-R0792_RS25510	11	25	17	19	16	28	24	12	22	13	19	20	host	gene-R0792_RS25510	False	
gene-R0792_RS17180	147	120	123	116	91	176	146	120	142	84	136	115	host	gene-R0792_RS17180	False	
gene-R0792_RS08430	1	2	4	4	0	2	1	1	5	0	4	3	host	gene-R0792_RS08430	False	
gene-R0792_RS18520	65	112	144	103	52	125	80	95	120	73	81	79	host	gene-R0792_RS18520	False	
gene-R0792_RS29200	6	11	19	11	2	15	22	9	31	9	27	18	host	gene-R0792_RS29200	False	
gene-R0792_RS00965	7	10	12	9	1	13	11	10	13	7	9	9	host	gene-R0792_RS00965	False	
gene-R0792_RS16990	119	113	105	102	27	107	117	91	114	44	95	80	host	gene-R0792_RS16990	False	
gene-R0792_RS20280	93	128	130	103	35	141	123	87	181	86	118	89	host	aguA	False	
gene-R0792_RS08085	139	133	108	121	138	198	142	126	132	107	139	157	host	gene-R0792_RS08085	False	
gene-R0792_RS28605	51	84	78	47	39	79	65	47	53	31	50	43	host	gene-R0792_RS28605	False	
gene-R0792_RS25485	4	4	4	6	5	8	5	2	6	3	6	3	host	urtE	False	
gene-R0792_RS11785	55	71	88	74	39	91	84	67	106	60	81	41	host	gene-R0792_RS11785	False	
gene-R0792_RS19060	44	48	48	38	22	58	43	28	51	24	47	34	host	gene-R0792_RS19060	False	
gene-R0792_RS29430	71	52	48	49	25	81	64	41	50	40	50	70	host	gene-R0792_RS29430	False	
gene-R0792_RS25305	32	45	34	36	27	60	43	32	38	21	33	42	host	gene-R0792_RS25305	False	
gene-R0792_RS26700	154	200	114	89	70	135	113	82	63	39	61	68	host	gene-R0792_RS26700	False	
gene-R0792_RS10300	24	16	19	16	10	32	29	16	44	14	40	18	host	gene-R0792_RS10300	False	
gene-R0792_RS01315	233	211	205	160	112	224	169	154	155	107	150	145	host	gene-R0792_RS01315	False	
gene-R0792_RS14165	470	445	518	436	269	538	557	436	584	314	566	480	host	metG	False	
gene-R0792_RS08290	18	21	16	17	3	9	21	16	14	4	11	8	host	gene-R0792_RS08290	False	
gene-R0792_RS29185	1	5	2	5	1	9	5	2	5	4	3	2	host	gene-R0792_RS29185	False	
gene-R0792_RS15810	67	65	77	74	14	60	48	40	48	13	28	14	host	gene-R0792_RS15810	False	
gene-R0792_RS08705	76	103	120	98	48	108	120	106	176	70	142	112	host	muxC	False	
gene-R0792_RS25175	24	27	33	14	10	22	31	31	37	21	33	28	host	gene-R0792_RS25175	False	
gene-R0792_RS24810	16	15	25	11	10	30	43	21	35	21	26	36	host	gene-R0792_RS24810	False	
gene-R0792_RS27755	17	19	30	16	14	24	16	15	20	7	16	8	host	gene-R0792_RS27755	False	
gene-R0792_RS07615	7	17	20	12	7	14	11	17	26	17	23	18	host	gntR	False	
gene-R0792_RS08135	210	238	256	187	130	293	246	172	134	65	151	112	host	csy3	False	
gene-R0792_RS11685	52	33	38	20	26	35	35	26	15	22	26	34	host	gene-R0792_RS11685	False	
gene-R0792_RS15535	285	314	265	288	227	495	391	325	537	310	449	394	host	gene-R0792_RS15535	False	
gene-R0792_RS28115	243	206	231	194	131	280	209	199	209	125	231	177	host	gatB	False	
gene-R0792_RS09110	109	120	124	100	44	135	101	84	107	58	91	70	host	gene-R0792_RS09110	False	
gene-R0792_RS23405	86	101	100	103	68	141	119	119	206	96	175	111	host	gene-R0792_RS23405	False	
gene-R0792_RS24200	165	159	176	168	48	185	166	126	194	99	182	112	host	gene-R0792_RS24200	False	
gene-R0792_RS04400	55	46	51	35	13	42	35	23	36	23	28	21	host	pscN	False	
gene-R0792_RS05845	4	13	5	5	3	9	7	8	13	0	4	2	host	nahK	False	
gene-R0792_RS17240	78	109	111	94	47	144	114	78	130	60	103	79	host	trxA	False	
gene-R0792_RS02815	20	32	28	14	11	19	25	23	22	11	28	22	host	gene-R0792_RS02815	False	
gene-R0792_RS03930	377	350	371	335	233	409	322	318	339	253	371	312	host	gene-R0792_RS03930	False	
gene-R0792_RS20065	86	85	109	83	60	103	89	75	114	54	97	79	host	gene-R0792_RS20065	False	
gene-R0792_RS24740	249	284	281	276	120	330	311	238	337	157	280	211	host	gene-R0792_RS24740	False	
gene-R0792_RS04635	9	8	6	7	9	6	9	6	14	8	13	12	host	gene-R0792_RS04635	False	
gene-R0792_RS06365	7	0	5	4	2	9	6	6	14	3	7	8	host	gene-R0792_RS06365	False	
gene-R0792_RS07795	37	28	37	36	30	46	21	32	22	14	21	12	host	gene-R0792_RS07795	False	
gene-R0792_RS25000	119	140	154	128	66	150	149	108	156	84	127	125	host	rhdA	False	
gene-R0792_RS21690	6	7	18	5	13	21	15	13	24	7	14	7	host	gene-R0792_RS21690	False	
gene-R0792_RS12450	270	345	292	285	149	302	267	267	319	164	301	257	host	gene-R0792_RS12450	False	
gene-R0792_RS18585	110	188	209	172	83	244	147	156	184	102	142	161	host	gene-R0792_RS18585	False	
gene-R0792_RS06940	8	10	13	13	3	15	14	7	20	15	29	21	host	gene-R0792_RS06940	False	
gene-R0792_RS14980	111	119	144	100	57	141	137	106	151	68	107	98	host	gene-R0792_RS14980	False	
gene-R0792_RS08545	3	6	4	6	1	6	4	3	11	2	5	3	host	oprN	False	
gene-R0792_RS22450	503	588	542	456	321	549	408	422	365	269	401	330	host	wbpZ	False	
gene-R0792_RS07330	13	8	16	13	6	11	7	3	7	2	4	5	host	gene-R0792_RS07330	False	
gene-R0792_RS13615	0	2	3	2	1	3	3	3	2	0	3	0	host	phnL	False	
gene-R0792_RS22940	6	11	15	14	4	23	10	5	19	6	18	15	host	glcC	False	
gene-R0792_RS25910	52	75	62	44	31	65	89	55	96	47	61	57	host	gene-R0792_RS25910	False	
gene-R0792_RS00250	6	12	20	11	7	12	7	12	16	8	12	8	host	gene-R0792_RS00250	False	
gene-R0792_RS07180	256	279	181	161	228	240	180	207	137	127	172	173	host	gene-R0792_RS07180	False	
gene-R0792_RS18575	105	161	225	136	56	179	125	109	179	101	145	114	host	gene-R0792_RS18575	False	
gene-R0792_RS07840	5	1	2	3	1	0	2	1	1	0	2	0	host	tssE	False	
gene-R0792_RS21360	47	54	66	60	32	71	45	55	64	43	89	41	host	gene-R0792_RS21360	False	
gene-R0792_RS28950	117	111	120	120	62	165	126	101	152	72	139	106	host	gene-R0792_RS28950	False	
gene-R0792_RS17705	1	2	3	2	1	3	3	5	1	1	8	4	host	gene-R0792_RS17705	False	
gene-R0792_RS13870	50	46	44	25	21	57	51	34	51	31	63	31	host	gene-R0792_RS13870	False	
gene-R0792_RS15530	84	81	69	74	48	135	119	88	173	78	98	97	host	tadA	False	
gene-R0792_RS11600	84	98	100	72	45	100	85	81	89	46	77	63	host	gene-R0792_RS11600	False	
gene-R0792_RS22160	347	385	381	355	213	498	394	337	394	276	343	317	host	gene-R0792_RS22160	False	
gene-R0792_RS29015	96	91	109	96	42	105	127	74	112	57	73	67	host	gene-R0792_RS29015	False	
gene-R0792_RS26170	63	62	53	53	63	75	60	52	97	55	90	63	host	panD	False	
gene-R0792_RS22375	106	125	202	169	28	134	150	84	229	110	179	108	host	gene-R0792_RS22375	False	
gene-R0792_RS21545	55	48	53	35	26	69	45	39	55	22	47	47	host	gene-R0792_RS21545	False	
gene-R0792_RS23685	25	34	37	28	14	37	30	19	38	14	36	27	host	gene-R0792_RS23685	False	
gene-R0792_RS19925	47	57	56	53	27	57	43	51	60	33	47	37	host	gene-R0792_RS19925	False	
gene-R0792_RS24935	43	40	53	36	18	51	44	34	41	29	34	26	host	cpdA	False	
gene-R0792_RS11410	70	94	83	87	46	105	87	97	66	45	87	54	host	gene-R0792_RS11410	False	
